low_end,low_end_raw,low_end_sign,low_end_biased_exp,low_end_mantissa,low_end_24bit,low_end_24bit_hex,low_end_plus_1,low_end_plus_1_raw,low_end_plus_1_sign,low_end_plus_1_biased_exp,low_end_plus_1_mantissa,low_end_plus_1_24bit,low_end_plus_1_24bit_hex,high_end_minus_1,high_end_minus_1_raw,high_end_minus_1_sign,high_end_minus_1_biased_exp,high_end_minus_1_mantissa,high_end_minus_1_24bit,high_end_minus_1_24bit_hex,high_end,high_end_raw,high_end_sign,high_end_biased_exp,high_end_mantissa,high_end_24bit,high_end_24bit_hex
1.387778781e-17,0x23800000,0,71,0,0,0x000000,1.387778946e-17,0x23800001,0,71,1,0,0x000000,2.775557231e-17,0x23fffffe,0,71,8388606,0,0x000000,2.775557396e-17,0x23ffffff,0,71,8388607,0,0x000000
2.775557562e-17,0x24000000,0,72,0,0,0x000000,2.775557892e-17,0x24000001,0,72,1,0,0x000000,5.551114461e-17,0x247ffffe,0,72,8388606,0,0x000000,5.551114792e-17,0x247fffff,0,72,8388607,0,0x000000
5.551115123e-17,0x24800000,0,73,0,0,0x000000,5.551115785e-17,0x24800001,0,73,1,0,0x000000,1.110222892e-16,0x24fffffe,0,73,8388606,0,0x000000,1.110222958e-16,0x24ffffff,0,73,8388607,0,0x000000
1.110223025e-16,0x25000000,0,74,0,0,0x000000,1.110223157e-16,0x25000001,0,74,1,0,0x000000,2.220445785e-16,0x257ffffe,0,74,8388606,0,0x000000,2.220445917e-16,0x257fffff,0,74,8388607,0,0x000000
2.220446049e-16,0x25800000,0,75,0,0,0x000000,2.220446314e-16,0x25800001,0,75,1,0,0x000000,4.440891569e-16,0x25fffffe,0,75,8388606,0,0x000000,4.440891834e-16,0x25ffffff,0,75,8388607,0,0x000000
4.440892099e-16,0x26000000,0,76,0,0,0x000000,4.440892628e-16,0x26000001,0,76,1,0,0x000000,8.881783138e-16,0x267ffffe,0,76,8388606,0,0x000000,8.881783668e-16,0x267fffff,0,76,8388607,0,0x000000
8.881784197e-16,0x26800000,0,77,0,0,0x000000,8.881785256e-16,0x26800001,0,77,1,0,0x000000,1.776356628e-15,0x26fffffe,0,77,8388606,0,0x000000,1.776356734e-15,0x26ffffff,0,77,8388607,0,0x000000
1.776356839e-15,0x27000000,0,78,0,0,0x000000,1.776357051e-15,0x27000001,0,78,1,0,0x000000,3.552713255e-15,0x277ffffe,0,78,8388606,0,0x000000,3.552713467e-15,0x277fffff,0,78,8388607,0,0x000000
3.552713679e-15,0x27800000,0,79,0,0,0x000000,3.552714102e-15,0x27800001,0,79,1,0,0x000000,7.105426511e-15,0x27fffffe,0,79,8388606,0,0x000000,7.105426934e-15,0x27ffffff,0,79,8388607,0,0x000000
7.105427358e-15,0x28000000,0,80,0,0,0x000000,7.105428205e-15,0x28000001,0,80,1,0,0x000000,1.421085302e-14,0x287ffffe,0,80,8388606,0,0x000000,1.421085387e-14,0x287fffff,0,80,8388607,0,0x000000
1.421085472e-14,0x28800000,0,81,0,0,0x000000,1.421085641e-14,0x28800001,0,81,1,0,0x000000,2.842170604e-14,0x28fffffe,0,81,8388606,0,0x000000,2.842170774e-14,0x28ffffff,0,81,8388607,0,0x000000
2.842170943e-14,0x29000000,0,82,0,0,0x000000,2.842171282e-14,0x29000001,0,82,1,0,0x000000,5.684341208e-14,0x297ffffe,0,82,8388606,0,0x000000,5.684341547e-14,0x297fffff,0,82,8388607,0,0x000000
5.684341886e-14,0x29800000,0,83,0,0,0x000000,5.684342564e-14,0x29800001,0,83,1,0,0x000000,1.136868242e-13,0x29fffffe,0,83,8388606,0,0x000000,1.136868309e-13,0x29ffffff,0,83,8388607,0,0x000000
